id,title,author,genre,publication_year,plot
107,The Enchanted Glade,Violet Clark,Fantasy,2022,"A magical glade holds the key to a hidden world, and a young girl must navigate its depths to save her family."
108,The Battle of the Gods,Walter Davis,Historical Fiction,2020,"Ancient gods clash in a battle for supremacy, with mortals caught in the crossfire."
109,The Haunted Abbey,Wendy White,Horror,2023,"An abbey with a dark past is haunted by the spirits of its former inhabitants, seeking revenge on the living."
110,The Time Traveler's Journey,William Wilson,Science Fiction,2019,A time traveler must navigate the paradoxes of his actions to prevent a catastrophic future.
111,The Secret Sanctuary,Yvonne Austin,Romance,2021,A young woman discovers a hidden sanctuary that holds the key to her family's past and her own future.
112,The Mystery of the Barn,Zachary Black,Mystery,2022,A series of mysterious events in an old barn lead to the uncovering of a hidden treasure and a family secret.
113,The Dragon's Roar,Zara White,Fantasy,2020,A young dragon rider must face the ultimate test to prove her worth and save her kingdom from destruction.
114,The Lost Ruins,Zoe Brown,Adventure,2023,"An explorer discovers lost ruins deep in the jungle, guarded by ancient traps and mythical creatures."
115,The Phantom's Lament,Zach Green,Horror,2019,"A phantom haunts a theater, seeking revenge on those who wronged him in life."
116,The Galactic Adventure,Aaron Smith,Science Fiction,2021,"A spaceship crew embarks on a journey to the edge of the universe, encountering cosmic wonders and dangers."
117,The Enchanted Lake,Bella Clark,Fantasy,2022,"A magical lake holds the key to a hidden world, and a young girl must navigate its depths to save her family."
118,The Battle of the Heroes,Ben Davis,Historical Fiction,2020,"Ancient heroes clash in a battle for glory, with mortals caught in the crossfire."
119,The Haunted House,Carla White,Horror,2023,"A house with a dark past is haunted by the spirits of its former inhabitants, seeking revenge on the living."
120,The Time Traveler's Quest,Charles Wilson,Science Fiction,2019,A time traveler must navigate the paradoxes of his actions to prevent a catastrophic future.
121,The Secret Island,Diana Austin,Romance,2021,A young woman discovers a hidden island that holds the key to her family's past and her own future.
122,The Mystery of the Museum,Douglas Black,Mystery,2022,A series of mysterious events in an old museum lead to the uncovering of a hidden treasure and a family secret.
123,The Dragon's Wrath,Ella White,Fantasy,2020,A young dragon rider must face the ultimate test to prove her worth and save her kingdom from destruction.
124,The Lost Ruins,Eva Brown,Adventure,2023,"An explorer discovers lost ruins deep in the jungle, guarded by ancient traps and mythical creatures."
125,The Phantom's Tale,Fiona Green,Horror,2019,"A phantom haunts a mansion, seeking revenge on those who wronged him in life."
126,The Galactic Adventure,Frank Smith,Science Fiction,2021,"A spaceship crew embarks on a journey to the edge of the universe, encountering cosmic wonders and dangers."
127,The Enchanted Valley,Gina Clark,Fantasy,2022,"A magical valley holds the key to a hidden world, and a young girl must navigate its depths to save her family."
128,The Battle of the Kings,Greg Davis,Historical Fiction,2020,"Ancient kings clash in a battle for supremacy, with mortals caught in the crossfire."
129,The Haunted Village,Hannah White,Horror,2023,"A village with a dark past is haunted by the spirits of its former inhabitants, seeking revenge on the living."
130,The Time Traveler's Mission,Harold Wilson,Science Fiction,2019,A time traveler must navigate the paradoxes of his actions to prevent a catastrophic future.
131,The Secret Cove,Helen Austin,Romance,2021,A young woman discovers a hidden cove that holds the key to her family's past and her own future.
132,The Mystery of the Library,Henry Black,Mystery,2022,A series of mysterious events in an old library lead to the uncovering of a hidden treasure and a family secret.
133,The Dragon's Fury,Irene White,Fantasy,2020,A young dragon rider must face the ultimate test to prove her worth and save her kingdom from destruction.
134,The Lost Sanctuary,Isabella Brown,Adventure,2023,"An adventurer discovers a lost sanctuary deep in the jungle, guarded by ancient traps and curses."
135,The Phantom's Song,Jane Green,Horror,2019,"A phantom haunts a concert hall, seeking revenge on those who wronged him in life."
136,The Galactic Expedition,Jason Smith,Science Fiction,2021,"A spaceship crew embarks on a journey to the edge of the universe, encountering cosmic wonders and dangers."
137,The Enchanted Mountain,Jessica Clark,Fantasy,2022,"A magical mountain holds the key to a hidden world, and a young girl must navigate its depths to save her family."
138,The Battle of the Warriors,John Davis,Historical Fiction,2020,"Ancient warriors clash in a battle for glory, with mortals caught in the crossfire."
139,The Haunted Forest,Julia White,Horror,2023,"A forest with a dark past is haunted by the spirits of its former inhabitants, seeking revenge on the living."
140,The Time Traveler's Odyssey,Justin Wilson,Science Fiction,2019,A time traveler must navigate the paradoxes of his actions to prevent a catastrophic future.
141,The Secret Beach,Karen Austin,Romance,2021,A young woman discovers a hidden beach that holds the key to her family's past and her own future.
142,The Mystery of the Attic,Kevin Black,Mystery,2022,A series of mysterious events in an old attic lead to the uncovering of a hidden treasure and a family secret.
143,The Dragon's Rage,Kim White,Fantasy,2020,A young dragon rider must face the ultimate test to prove her worth and save her kingdom from destruction.
144,The Lost Oasis,Kristen Brown,Adventure,2023,"An explorer discovers a lost oasis deep in the desert, guarded by ancient traps and curses."
145,The Phantom's Dance,Laura Green,Horror,2019,"A phantom haunts a dance hall, seeking revenge on those who wronged him in life."
146,The Galactic Voyage,Liam Smith,Science Fiction,2021,"A spaceship crew embarks on a journey to the edge of the universe, encountering cosmic wonders and dangers."
147,The Enchanted Cave,Linda Clark,Fantasy,2022,"A magical cave holds the key to a hidden world, and a young girl must navigate its depths to save her family."
148,The Battle of the Champions,Luke Davis,Historical Fiction,2020,"Ancient champions clash in a battle for glory, with mortals caught in the crossfire."
149,The Haunted Mansion,Lydia White,Horror,2023,"A mansion with a dark past is haunted by the spirits of its former inhabitants, seeking revenge on the living."
150,The Time Traveler's Saga,Marcus Wilson,Science Fiction,2019,A time traveler must navigate the paradoxes of his actions to prevent a catastrophic future.
151,The Secret Grove,Maria Austin,Romance,2021,A young woman discovers a hidden grove that holds the key to her family's past and her own future.
152,The Mystery of the Basement,Mark Black,Mystery,2022,A series of mysterious events in an old basement lead to the uncovering of a hidden treasure and a family secret.
153,The Dragon's Roar,Megan White,Fantasy,2020,A young dragon rider must face the ultimate test to prove her worth and save her kingdom from destruction.
154,The Lost Paradise,Melissa Brown,Adventure,2023,"An explorer discovers a lost paradise deep in the jungle, guarded by ancient traps and mythical creatures."
155,The Phantom's Melody,Michael Green,Horror,2019,"A phantom haunts a music hall, seeking revenge on those who wronged him in life."
156,The Galactic Journey,Mike Smith,Science Fiction,2021,"A spaceship crew embarks on a journey to the edge of the universe, encountering cosmic wonders and dangers."
157,The Enchanted River,Molly Clark,Fantasy,2022,"A magical river holds the key to a hidden world, and a young girl must navigate its depths to save her family."
158,The Battle of the Heroes,Nathan Davis,Historical Fiction,2020,"Ancient heroes clash in a battle for glory, with mortals caught in the crossfire."
159,The Haunted Cemetery,Nicole White,Horror,2023,"A cemetery with a dark past is haunted by the spirits of its former inhabitants, seeking revenge on the living."
160,The Time Traveler's Chronicle,Noah Wilson,Science Fiction,2019,A time traveler must navigate the paradoxes of his actions to prevent a catastrophic future.
161,The Secret Lagoon,Olivia Austin,Romance,2021,A young woman discovers a hidden lagoon that holds the key to her family's past and her own future.
162,The Mystery of the Cellar,Owen Black,Mystery,2022,A series of mysterious events in an old cellar lead to the uncovering of a hidden treasure and a family secret.
163,The Dragon's Cry,Pamela White,Fantasy,2020,A young dragon rider must face the ultimate test to prove her worth and save her kingdom from destruction.
164,The Lost Sanctum,Patricia Brown,Adventure,2023,"An explorer discovers a lost sanctum deep in the jungle, guarded by ancient traps and curses."
165,The Phantom's Symphony,Paul Green,Horror,2019,"A phantom haunts a symphony hall, seeking revenge on those who wronged him in life."
166,The Galactic Quest,Peter Smith,Science Fiction,2021,"A spaceship crew embarks on a journey to the edge of the universe, encountering cosmic wonders and dangers."
167,The Enchanted Woods,Rebecca Clark,Fantasy,2022,"A magical woods holds the key to a hidden world, and a young girl must navigate its depths to save her family."
168,The Battle of the Legends,Richard Davis,Historical Fiction,2020,"Ancient legends clash in a battle for glory, with mortals caught in the crossfire."
169,The Haunted Manor,Rita White,Horror,2023,"A manor with a dark past is haunted by the spirits of its former inhabitants, seeking revenge on the living."
170,The Time Traveler's Epic,Robert Wilson,Science Fiction,2019,A time traveler must navigate the paradoxes of his actions to prevent a catastrophic future.
171,The Secret Haven,Rose Austin,Romance,2021,A young woman discovers a hidden haven that holds the key to her family's past and her own future.
172,The Mystery of the Garage,Ryan Black,Mystery,2022,A series of mysterious events in an old garage lead to the uncovering of a hidden treasure and a family secret.
173,The Dragon's Howl,Sandra White,Fantasy,2020,A young dragon rider must face the ultimate test to prove her worth and save her kingdom from destruction.
174,The Lost Shrine,Sara Brown,Adventure,2023,"An explorer discovers a lost shrine deep in the jungle, guarded by ancient traps and curses."
175,The Phantom's Requiem,Scott Green,Horror,2019,"A phantom haunts a cathedral, seeking revenge on those who wronged him in life."
176,The Galactic Mission,Sean Smith,Science Fiction,2021,"A spaceship crew embarks on a journey to the edge of the universe, encountering cosmic wonders and dangers."
177,The Enchanted Meadow,Sophia Clark,Fantasy,2022,"A magical meadow holds the key to a hidden world, and a young girl must navigate its depths to save her family."
178,The Battle of the Titans,Steve Davis,Historical Fiction,2020,"Ancient titans clash in a battle for supremacy, with mortals caught in the crossfire."
179,The Haunted Chapel,Susan White,Horror,2023,"A chapel with a dark past is haunted by the spirits of its former inhabitants, seeking revenge on the living."
180,The Time Traveler's Adventure,Thomas Wilson,Science Fiction,2019,A time traveler must navigate the paradoxes of his actions to prevent a catastrophic future.
181,The Secret Oasis,Tina Austin,Romance,2021,A young woman discovers a hidden oasis that holds the key to her family's past and her own future.
182,The Mystery of the Shed,Tony Black,Mystery,2022,A series of mysterious events in an old shed lead to the uncovering of a hidden treasure and a family secret.
183,The Dragon's Scream,Tracy White,Fantasy,2020,A young dragon rider must face the ultimate test to prove her worth and save her kingdom from destruction.
184,The Lost Temple,Trevor Brown,Adventure,2023,"An explorer discovers a lost temple deep in the jungle, guarded by ancient traps and curses."
185,The Phantom's Lullaby,Victor Green,Horror,2019,"A phantom haunts a nursery, seeking revenge on those who wronged him in life."
186,The Galactic Odyssey,Vincent Smith,Science Fiction,2021,"A spaceship crew embarks on a journey to the edge of the universe, encountering cosmic wonders and dangers."
187,The Enchanted Glade,Violet Clark,Fantasy,2022,"A magical glade holds the key to a hidden world, and a young girl must navigate its depths to save her family."
188,The Battle of the Gods,Walter Davis,Historical Fiction,2020,"Ancient gods clash in a battle for supremacy, with mortals caught in the crossfire."
189,The Haunted Abbey,Wendy White,Horror,2023,"An abbey with a dark past is haunted by the spirits of its former inhabitants, seeking revenge on the living."
190,The Time Traveler's Journey,William Wilson,Science Fiction,2019,A time traveler must navigate the paradoxes of his actions to prevent a catastrophic future.
191,The Secret Sanctuary,Yvonne Austin,Romance,2021,A young woman discovers a hidden sanctuary that holds the key to her family's past and her own future.
192,The Mystery of the Barn,Zachary Black,Mystery,2022,A series of mysterious events in an old barn lead to the uncovering of a hidden treasure and a family secret.
193,The Dragon's Roar,Zara White,Fantasy,2020,A young dragon rider must face the ultimate test to prove her worth and save her kingdom from destruction.
194,The Lost Ruins,Zoe Brown,Adventure,2023,"An explorer discovers lost ruins deep in the jungle, guarded by ancient traps and mythical creatures."
195,The Phantom's Lament,Zach Green,Horror,2019,"A phantom haunts a theater, seeking revenge on those who wronged him in life."
196,The Galactic Adventure,Aaron Smith,Science Fiction,2021,"A spaceship crew embarks on a journey to the edge of the universe, encountering cosmic wonders and dangers."
197,The Enchanted Lake,Bella Clark,Fantasy,2022,"A magical lake holds the key to a hidden world, and a young girl must navigate its depths to save her family."
198,The Battle of the Heroes,Ben Davis,Historical Fiction,2020,"Ancient heroes clash in a battle for glory, with mortals caught in the crossfire."
199,The Haunted House,Carla White,Horror,2023,"A house with a dark past is haunted by the spirits of its former inhabitants, seeking revenge on the living."
200,The Time Traveler's Quest,Charles Wilson,Science Fiction,2019,A time traveler must navigate the paradoxes of his actions to prevent a catastrophic future.
301,El Bosque Susurrante,Emilia Torres,Fantasy,2020,Una joven descubre un bosque mágico donde debe enfrentar sus miedos para salvar su aldea.
302,Les Échos du Temps,Jean-Pierre Noir,Science Fiction,2019,Un scientifique invente une machine à voyager dans le temps et retourne en arrière pour empêcher une catastrophe mondiale.
303,Die Schatten der Vergangenheit,Viktoria Straße,Mystery,2018,Ein Detektiv entwirrt eine Reihe von Morden die mit einem alten ungelösten Fall verbunden zu sein scheinen.
304,Il Regno Perduto,Davide Re,Adventure,2017,Ein Gruppe von Forschern sucht nach einem legendären Königreich das tief im Amazonas-Regenwald verborgen ist.
305,La Danza delle Stelle,Sara Bianca,Romance,2016,Eine Liebesgeschichte zwischen einem Astronauten und einer Wissenschaftlerin die sich während einer Weltraummission kennenlernen.
306,La Maison Hantée,Michel Sombre,Horror,2015,Eine Familie zieht in ein altes Herrenhaus und beginnt übernatürliche Ereignisse zu erleben.
307,A Cidade Esquecida,Lucia Verde,Historical Fiction,2014,Eine Geschichte über eine Stadt die in der Zeit verloren ging und den Archäologen der ihre Geheimnisse entdeckt.
308,El Espejo Encantado,Olivia Azul,Fantasy,2013,Ein magischer Spiegel der Wünsche erfüllt führt einen jungen Jungen auf ein gefährliches Abenteuer.
309,La Frontière Numérique,Thomas Gris,Science Fiction,2012,Ein Hacker entdeckt eine Verschwörung die die digitale Welt bedroht.
310,L'Acte de Disparition,Emma Pierre,Mystery,2011,Ein Magierassistent verschwindet während einer Aufführung was zu einer komplexen Untersuchung führt.
311,El Tesoro Oculto,Ricardo Marrón,Adventure,2010,Ein Schatzsucher sucht nach dem versteckten Vermögen eines legendären Piraten.
312,El Sendero Estrellado,Amelia Rosa,Romance,2009,Ein Paar findet die Liebe während es den Appalachen-Trail wandert.
313,La Mansión Maldita,Enrique Negro,Horror,2008,Eine Gruppe von Freunden verbringt die Nacht in einem verfluchten Schloss und stellt sich ihren dunkelsten Ängsten.
314,La Profecía Antigua,Clara Blanca,Historical Fiction,2007,Eine alte Prophezeiung erfüllt sich und verändert den Lauf der Geschichte.
315,El Bosque Místico,Eleonor Verde,Fantasy,2006,Ein junges Mädchen betritt einen mystischen Wald und begegnet magischen Kreaturen.
316,El Dilema del Viajero del Tiempo,Benjamín Gris,Science Fiction,2005,Ein Zeitreisender muss entscheiden ob er die Vergangenheit ändern oder die Geschichte ihren Lauf nehmen lassen soll.
317,El Testigo Silencioso,Sofía Piedra,Mystery,2004,Ein Detektiv löst einen Mordfall mit Hilfe eines stummen Zeugen.
318,La Isla Perdida,Samuel Marrón,Adventure,2003,Eine Gruppe von Forschern entdeckt eine verlorene Insel die mit antiken Ruinen gefüllt ist.
319,La Serenata Lunar,Isabella Rosa,Romance,2002,Ein Musiker und eine Tänzerin verlieben sich während einer mondbeschienenen Aufführung.
320,La Casa Encantada,Alejandro Oscuro,Horror,2001,Eine Familie zieht in ein Spukhaus und erlebt beängstigende Ereignisse.
