id,name,part_number,manufacturer,category,material,weight,price,detailed_description
303,Screwdriver Set Kit Set,SDSKSK-303,ToolMaster,Tools,Steel,2.0 kg,30.00,"Steel screwdriver set kit set designed for a wide range of repair and maintenance tasks."
304,Pliers Set Kit Set,PSKSK-304,ToolMaster,Tools,Steel,2.5 kg,35.00,"Steel pliers set kit set designed for a wide range of repair and maintenance tasks."
305,Air Compressor Kit Set,ACKSK-305,ToolMaster,Tools,Steel,25.0 kg,140.00,"Steel air compressor kit set designed for a wide range of repair and maintenance tasks."
306,Impact Wrench Kit Set,IWKSK-306,ToolMaster,Tools,Steel,5.0 kg,70.00,"Steel impact wrench kit set designed for a wide range of repair and maintenance tasks."
307,Drill Set Kit Set,DSKSK-307,ToolMaster,Tools,Steel,3.0 kg,40.00,"Steel drill set kit set designed for a wide range of repair and maintenance tasks."
308,Sander Kit Set,SDKSK-308,ToolMaster,Tools,Steel,2.5 kg,35.00,"Steel sander kit set designed for a wide range of repair and maintenance tasks."
309,Grinder Kit Set,GRKSK-309,ToolMaster,Tools,Steel,3.0 kg,40.00,"Steel grinder kit set designed for a wide range of repair and maintenance tasks."
310,Welding Machine Kit Set,WMKSK-310,ToolMaster,Tools,Steel,30.0 kg,240.00,"Steel welding machine kit set designed for a wide range of repair and maintenance tasks."
311,Paint Sprayer Kit Set,PSKSK-311,ToolMaster,Tools,Steel,8.0 kg,100.00,"Steel paint sprayer kit set designed for a wide range of repair and maintenance tasks."
312,Air Filter Housing Kit Set,AFHKSK-312,CleanAir,Filtration,Plastic,0.9 kg,25.00,"Plastic air filter housing kit set designed for optimal air filtration."
313,Oil Filter Housing Kit Set,OFHKSK-313,OilGuard,Filtration,Plastic,0.9 kg,25.00,"Plastic oil filter housing kit set designed for optimal oil filtration."
314,Fuel Filter Housing Kit Set,FFHKSK-314,FuelFlow,Fuel System,Plastic,0.9 kg,25.00,"Plastic fuel filter housing kit set designed for optimal fuel filtration."
315,Cabin Air Filter Housing Kit Set,CAFHKSK-315,CleanAir,Filtration,Plastic,0.9 kg,25.00,"Plastic cabin air filter housing kit set designed for optimal air filtration."
316,Engine Oil Filter Kit Set,EOFKSK-316,OilGuard,Filtration,Synthetic,0.5 kg,25.00,"Synthetic engine oil filter kit set designed to remove contaminants and extend engine life."
317,Transmission Oil Filter Kit Set,TOFKSK-317,OilGuard,Filtration,Synthetic,0.5 kg,25.00,"Synthetic transmission oil filter kit set designed to remove contaminants and extend transmission life."
318,Brake Fluid Filter Kit Set,BFFKSK-318,BrakeSafe,Filtration,Synthetic,0.5 kg,25.00,"Synthetic brake fluid filter kit set designed to remove contaminants and extend brake system life."
319,Power Steering Fluid Filter Kit Set,PSFFKSK-319,SteerEase,Filtration,Synthetic,0.5 kg,25.00,"Synthetic power steering fluid filter kit set designed to remove contaminants and extend steering system life."
320,Coolant Filter Kit Set,CFKSK-320,CoolFlow,Filtration,Synthetic,0.5 kg,25.00,"Synthetic coolant filter kit set designed to remove contaminants and extend cooling system life."
321,Windshield Washer Fluid Filter Kit Set,WWFFKSK-321,GlassGuard,Filtration,Synthetic,0.5 kg,25.00,"Synthetic windshield washer fluid filter kit set designed to remove contaminants and extend washer system life."
322,Battery Charger Cable Kit Set,BCCSK-322,PowerPlus,Electrical,Copper,0.9 kg,20.00,"Copper battery charger cable kit set designed for reliable and efficient battery charging."
323,Jumper Cable Set Kit Set,JCSKSK-323,PowerPlus,Electrical,Copper,2.0 kg,25.00,"Copper jumper cable set kit set designed for emergency battery charging."
324,Tire Pressure Gauge Set Kit Set,TPGSKSK-324,TireSafe,Tools,Steel,0.5 kg,25.00,"Steel tire pressure gauge set kit set designed for accurate tire pressure measurement."
325,Tire Inflator Kit Set Set,TIKSKSK-325,TireSafe,Tools,Plastic,2.5 kg,35.00,"Plastic tire inflator kit set set designed for easy and convenient tire inflation."
326,Jack Stand Set Kit Set,JSSKSK-326,LiftMaster,Tools,Steel,9.0 kg,60.00,"Steel jack stand set kit set designed for safe and stable vehicle lifting."
327,Floor Jack Set Kit Set,FJSKSK-327,LiftMaster,Tools,Steel,25.0 kg,90.00,"Steel floor jack set kit set designed for easy and safe vehicle lifting."
328,Socket Set Kit Set Set,SSKSKSK-328,ToolMaster,Tools,Steel,6.0 kg,70.00,"Steel socket set kit set set designed for a wide range of repair and maintenance tasks."
329,Wrench Set Kit Set Set,WSKSKSK-329,ToolMaster,Tools,Steel,5.5 kg,65.00,"Steel wrench set kit set set designed for a wide range of repair and maintenance tasks."
330,Screwdriver Set Kit Set Set,SDSKSKSK-330,ToolMaster,Tools,Steel,2.5 kg,35.00,"Steel screwdriver set kit set set designed for a wide range of repair and maintenance tasks."
331,Pliers Set Kit Set Set,PSKSKSK-331,ToolMaster,Tools,Steel,3.0 kg,40.00,"Steel pliers set kit set set designed for a wide range of repair and maintenance tasks."
332,Air Compressor Kit Set Set,ACKSKSK-332,ToolMaster,Tools,Steel,30.0 kg,160.00,"Steel air compressor kit set set designed for a wide range of repair and maintenance tasks."
333,Impact Wrench Kit Set Set,IWKSKSK-333,ToolMaster,Tools,Steel,6.0 kg,80.00,"Steel impact wrench kit set set designed for a wide range of repair and maintenance tasks."
334,Drill Set Kit Set Set,DSKSKSK-334,ToolMaster,Tools,Steel,3.5 kg,45.00,"Steel drill set kit set set designed for a wide range of repair and maintenance tasks."
335,Sander Kit Set Set,SDKSKSK-335,ToolMaster,Tools,Steel,3.0 kg,40.00,"Steel sander kit set set designed for a wide range of repair and maintenance tasks."
336,Grinder Kit Set Set,GRKSKSK-336,ToolMaster,Tools,Steel,3.5 kg,45.00,"Steel grinder kit set set designed for a wide range of repair and maintenance tasks."
337,Welding Machine Kit Set Set,WMKSKSK-337,ToolMaster,Tools,Steel,35.0 kg,260.00,"Steel welding machine kit set set designed for a wide range of repair and maintenance tasks."
338,Paint Sprayer Kit Set Set,PSKSKSK-338,ToolMaster,Tools,Steel,9.0 kg,110.00,"Steel paint sprayer kit set set designed for a wide range of repair and maintenance tasks."
339,Air Filter Housing Kit Set Set,AFHKSKSK-339,CleanAir,Filtration,Plastic,1.1 kg,30.00,"Plastic air filter housing kit set set designed for optimal air filtration."
340,Oil Filter Housing Kit Set Set,OFHKSKSK-340,OilGuard,Filtration,Plastic,1.1 kg,30.00,"Plastic oil filter housing kit set set designed for optimal oil filtration."
341,Fuel Filter Housing Kit Set Set,FFHKSKSK-341,FuelFlow,Fuel System,Plastic,1.1 kg,30.00,"Plastic fuel filter housing kit set set designed for optimal fuel filtration."
342,Cabin Air Filter Housing Kit Set Set,CAFHKSKSK-342,CleanAir,Filtration,Plastic,1.1 kg,30.00,"Plastic cabin air filter housing kit set set designed for optimal air filtration."
343,Engine Oil Filter Kit Set Set,EOFKSKSK-343,OilGuard,Filtration,Synthetic,0.6 kg,30.00,"Synthetic engine oil filter kit set set designed to remove contaminants and extend engine life."
344,Transmission Oil Filter Kit Set Set,TOFKSKSK-344,OilGuard,Filtration,Synthetic,0.6 kg,30.00,"Synthetic transmission oil filter kit set set designed to remove contaminants and extend transmission life."
345,Brake Fluid Filter Kit Set Set,BFFKSKSK-345,BrakeSafe,Filtration,Synthetic,0.6 kg,30.00,"Synthetic brake fluid filter kit set set designed to remove contaminants and extend brake system life."
346,Power Steering Fluid Filter Kit Set Set,PSFFKSKSK-346,SteerEase,Filtration,Synthetic,0.6 kg,30.00,"Synthetic power steering fluid filter kit set set designed to remove contaminants and extend steering system life."
347,Coolant Filter Kit Set Set,CFKSKSK-347,CoolFlow,Filtration,Synthetic,0.6 kg,30.00,"Synthetic coolant filter kit set set designed to remove contaminants and extend cooling system life."
348,Windshield Washer Fluid Filter Kit Set Set,WWFFKSKSK-348,GlassGuard,Filtration,Synthetic,0.6 kg,30.00,"Synthetic windshield washer fluid filter kit set set designed to remove contaminants and extend washer system life."
349,Battery Charger Cable Kit Set Set,BCCSKSK-349,PowerPlus,Electrical,Copper,1.1 kg,25.00,"Copper battery charger cable kit set set designed for reliable and efficient battery charging."
350,Jumper Cable Set Kit Set Set,JCSKSKSK-350,PowerPlus,Electrical,Copper,2.5 kg,30.00,"Copper jumper cable set kit set se
121,GPS Navigation Unit,GPS-121,NavMaster,Electronics,Plastic,0.6 kg,160.00,"Advanced GPS navigation unit designed for accurate and reliable navigation."
122,Backup Camera Kit,BC-122,VisionPro,Electronics,Plastic,0.3 kg,55.00,"Backup camera kit designed for improved rear visibility and safety."
123,Parking Sensor Set,PS-123,SensorGuard,Electronics,Plastic,0.2 kg,35.00,"Parking sensor set designed for accurate and reliable parking assistance."
124,Bluetooth Adapter,BT-124,ConnectPro,Electronics,Plastic,0.1 kg,25.00,"Bluetooth adapter designed for wireless connectivity and convenience."
125,USB Charger,USB-125,ConnectPro,Electronics,Plastic,0.1 kg,15.00,"USB charger designed for easy and convenient device charging."
126,Auxiliary Cable,AUX-126,ConnectPro,Electronics,Plastic,0.1 kg,15.00,"Auxiliary cable designed for easy and convenient audio connectivity."
127,Cigarette Lighter Socket,CL-127,PowerPlus,Electrical,Plastic,0.1 kg,10.00,"Plastic cigarette lighter socket designed for convenient power access."
128,Fuse Box Cover,FB-128,PowerGuard,Electrical,Plastic,0.6 kg,25.00,"Plastic fuse box cover designed for safe and reliable electrical protection."
129,Battery Cable Set,BC-129,PowerPlus,Electrical,Copper,0.6 kg,20.00,"Copper battery cable set designed for reliable electrical connection."
130,Spark Plug Wire Set,SPW-130,SparkMaster,Ignition,Copper,0.3 kg,15.00,"Copper spark plug wire set designed for reliable ignition and performance."
131,Distributor Cap Set,DC-131,SparkMaster,Ignition,Plastic,0.3 kg,20.00,"Plastic distributor cap set designed for reliable ignition timing."
132,Ignition Coil Pack,IC-132,SparkMaster,Ignition,Plastic,0.6 kg,35.00,"Ignition coil pack designed for reliable and powerful spark delivery."
133,Oxygen Sensor Kit,OS-133,SensorGuard,Exhaust,Ceramic,0.3 kg,55.00,"Ceramic oxygen sensor kit designed for accurate emissions monitoring."
134,Mass Air Flow Sensor Kit,MAF-134,SensorGuard,Engine,Plastic,0.4 kg,65.00,"Mass air flow sensor kit designed for accurate air intake measurement."
135,Throttle Position Sensor Kit,TPS-135,SensorGuard,Engine,Plastic,0.3 kg,45.00,"Throttle position sensor kit designed for accurate throttle position monitoring."
136,Crankshaft Position Sensor Kit,CPS-136,SensorGuard,Engine,Plastic,0.3 kg,35.00,"Crankshaft position sensor kit designed for accurate engine timing."
137,Camshaft Position Sensor Kit,CAM-137,SensorGuard,Engine,Plastic,0.3 kg,35.00,"Camshaft position sensor kit designed for accurate engine timing."
138,Knock Sensor Kit,KS-138,SensorGuard,Engine,Plastic,0.3 kg,30.00,"Knock sensor kit designed for accurate engine knock detection."
139,Coolant Temperature Sensor Kit,CTS-139,SensorGuard,Cooling,Plastic,0.3 kg,25.00,"Coolant temperature sensor kit designed for accurate engine temperature monitoring."
140,Oil Pressure Sensor Kit,OPS-140,SensorGuard,Engine,Plastic,0.3 kg,25.00,"Oil pressure sensor kit designed for accurate oil pressure monitoring."
141,Fuel Pressure Sensor Kit,FPS-141,SensorGuard,Fuel System,Plastic,0.3 kg,25.00,"Fuel pressure sensor kit designed for accurate fuel pressure monitoring."
142,MAP Sensor Kit,MAP-142,SensorGuard,Engine,Plastic,0.3 kg,30.00,"MAP sensor kit designed for accurate manifold absolute pressure monitoring."
143,EGR Valve Kit,EGR-143,EmissionPro,Exhaust,Steel,0.6 kg,55.00,"EGR valve kit designed for reduced emissions and improved engine performance."
144,PCV Valve Kit,PCV-144,EmissionPro,Exhaust,Plastic,0.2 kg,15.00,"PCV valve kit designed for reduced emissions and improved engine performance."
145,Charcoal Canister Kit,CC-145,EmissionPro,Exhaust,Plastic,0.6 kg,35.00,"Charcoal canister kit designed for reduced emissions and improved engine performance."
146,Air Pump Kit,AP-146,EmissionPro,Exhaust,Steel,1.2 kg,55.00,"Air pump kit designed for reduced emissions and improved engine performance."
147,Fuel Pressure Regulator Kit,FPR-147,FuelFlow,Fuel System,Steel,0.6 kg,35.00,"Fuel pressure regulator kit designed for accurate fuel pressure control."
148,Fuel Filter Kit,FF-148,FuelFlow,Fuel System,Paper,0.3 kg,20.00,"Fuel filter kit designed to remove contaminants and improve fuel system performance."
149,Fuel Pump Relay Kit,FPR-149,FuelFlow,Fuel System,Plastic,0.2 kg,15.00,"Fuel pump relay kit designed for reliable fuel pump operation."
150,Fuel Tank Sending Unit Kit,FTSU-150,FuelFlow,Fuel System,Plastic,0.6 kg,35.00,"Fuel tank sending unit kit designed for accurate fuel level monitoring."
151,Fuel Injector Seal Kit,FIS-151,FuelFlow,Fuel System,Rubber,0.2 kg,10.00,"Fuel injector seal kit designed for reliable fuel injector operation."
152,Fuel Rail Kit,FR-152,FuelFlow,Fuel System,Aluminum,0.6 kg,55.00,"Aluminum fuel rail kit designed for reliable fuel delivery."
153,Fuel Return Line Kit,FRL-153,FuelFlow,Fuel System,Steel,0.6 kg,25.00,"Steel fuel return line kit designed for reliable fuel return."
154,Fuel Cap Kit,FC-154,FuelFlow,Fuel System,Plastic,0.2 kg,10.00,"Plastic fuel cap kit designed for secure and reliable fuel tank sealing."
155,Fuel Gauge Kit,FG-155,FuelFlow,Fuel System,Plastic,0.3 kg,20.00,"Fuel gauge kit designed for accurate fuel level monitoring."
156,Fuel Pump Module Kit,FPM-156,FuelFlow,Fuel System,Plastic,1.2 kg,55.00,"Fuel pump module kit designed for reliable fuel pump operation."
157,Fuel Injector Cleaner Kit,FIC-157,FuelFlow,Fuel System,Liquid,0.6 kg,15.00,"Liquid fuel injector cleaner kit designed to remove deposits and improve fuel system performance."
158,Fuel Additive Kit,FA-158,FuelFlow,Fuel System,Liquid,0.6 kg,15.00,"Liquid fuel additive kit designed to improve fuel system performance and efficiency."
159,Fuel Stabilizer Kit,FS-159,FuelFlow,Fuel System,Liquid,0.6 kg,15.00,"Liquid fuel stabilizer kit designed to extend fuel life and improve performance."
160,Fuel System Cleaner Kit,FSC-160,FuelFlow,Fuel System,Liquid,0.6 kg,15.00,"Liquid fuel system cleaner kit designed to remove deposits and improve performance."
161,Fuel Injector Kit Set,FIK-161,FuelFlow,Fuel System,Steel,1.2 kg,105.00,"Complete fuel injector kit set designed for reliable fuel delivery and performance."
162,Fuel Pump Assembly Kit,FPA-162,FuelFlow,Fuel System,Steel,2.2 kg,155.00,"Complete fuel pump assembly kit designed for reliable fuel delivery and performance."
163,Fuel Filter Kit Set,FFK-163,FuelFlow,Fuel System,Paper,0.6 kg,35.00,"Complete fuel filter kit set designed to remove contaminants and improve performance."
164,Fuel Tank Strap Kit,FTS-164,FuelFlow,Fuel System,Steel,0.6 kg,25.00,"Steel fuel tank strap kit designed for secure fuel tank mounting."
165,Fuel Tank Vent Kit,FTV-165,FuelFlow,Fuel System,Plastic,0.3 kg,15.00,"Plastic fuel tank vent kit designed for reliable fuel tank venting."
166,Fuel Tank Sender Kit,FTS-166,FuelFlow,Fuel System,Plastic,0.6 kg,35.00,"Fuel tank sender kit designed for accurate fuel level monitoring."
167,Fuel Tank Seal Kit,FTS-167,FuelFlow,Fuel System,Rubber,0.2 kg,10.00,"Fuel tank seal kit designed for reliable fuel tank sealing."
168,Fuel Tank Lock Kit,FTL-168,FuelFlow,Fuel System,Steel,0.6 kg,25.00,"Steel fuel tank lock kit designed for secure fuel tank access."
169,Fuel Tank Gauge Kit,FTG-169,FuelFlow,Fuel System,Plastic,0.3 kg,20.00,"Fuel tank gauge kit designed for accurate fuel level monitoring."
170,Fuel Tank Cap Kit,FTC-170,FuelFlow,Fuel System,Plastic,0.2 kg,10.00,"Plastic fuel tank cap kit designed for secure and reliable fuel tank sealing."
171,Fuel Tank Module Kit,FTM-171,FuelFlow,Fuel System,Plastic,1.2 kg,55.00,"Fuel tank module kit designed for reliable fuel tank operation."
172,Fuel Tank Pump Kit,FTP-172,FuelFlow,Fuel System,Steel,1.2 kg,55.00,"Fuel tank pump kit designed for reliable fuel delivery."
173,Fuel Tank Sending Unit Kit Set,FTSU-173,FuelFlow,Fuel System,Plastic,0.6 kg,35.00,"Fuel tank sending unit kit set designed for accurate fuel level monitoring."
174,Fuel Tank Vent Valve Kit,FTVV-174,FuelFlow,Fuel System,Plastic,0.3 kg,15.00,"Fuel tank vent valve kit designed for reliable fuel tank venting."
175,Fuel Tank Pressure Sensor Kit,FTPS-175,FuelFlow,Fuel System,Plastic,0.3 kg,25.00,"Fuel tank pressure sensor kit designed for accurate fuel tank pressure monitoring."
176,Fuel Tank Level Sensor Kit,FTLS-176,FuelFlow,Fuel System,Plastic,0.3 kg,25.00,"Fuel tank level sensor kit designed for accurate fuel level monitoring."
177,Fuel Tank Temperature Sensor Kit,FTTS-177,FuelFlow,Fuel System,Plastic,0.3 kg,25.00,"Fuel tank temperature sensor kit designed for accurate fuel tank temperature monitoring."
178,Fuel Tank Pressure Regulator Kit,FTPR-178,FuelFlow,Fuel System,Steel,0.6 kg,35.00,"Fuel tank pressure regulator kit designed for accurate fuel tank pressure control."
179,Fuel Tank Vent Filter Kit,FTVF-179,FuelFlow,Fuel System,Paper,0.3 kg,15.00,"Fuel tank vent filter kit designed to remove contaminants and improve performance."
