id,name,part_number,manufacturer,category,material,weight,price,detailed_description
25,Air Conditioning Compressor,ACC-025,CoolAir,HVAC,Aluminum,4.0 kg,200.00,"Aluminum air conditioning compressor designed for efficient cooling."
26,Drive Belt,DB-026,BeltMaster,Engine,Rubber,0.4 kg,20.00,"High-quality drive belt designed for reliable engine operation."
27,Tie Rod End,TRE-027,SteerRight,Steering,Steel,0.5 kg,30.00,"Durable tie rod end designed for precise steering control."
28,Ball Joint,BJ-028,JointMaster,Suspension,Steel,0.8 kg,50.00,"High-quality ball joint designed for smooth suspension operation."
29,Control Arm,CA-029,SuspensionPro,Suspension,Steel,2.5 kg,100.00,"Steel control arm designed for stable and reliable suspension performance."
30,Strut Assembly,SA-030,SuspensionMaster,Suspension,Steel,3.0 kg,150.00,"Complete strut assembly designed for a smooth and comfortable ride."
31,Wheel Bearing,WB-031,BearingPro,Wheels,Steel,0.5 kg,40.00,"High-quality wheel bearing designed for smooth and reliable wheel operation."
32,Fuel Tank,FT-032,FuelSafe,Fuel System,Plastic,5.0 kg,100.00,"Durable plastic fuel tank designed for safe fuel storage."
33,Engine Mount,EM-033,MountMaster,Engine,Rubber,1.0 kg,30.00,"Rubber engine mount designed to reduce vibration and noise."
34,Transmission Fluid,TF-034,FluidFlow,Transmission,Synthetic,0.5 kg,20.00,"Synthetic transmission fluid designed for smooth shifting and long-lasting performance."
35,Power Window Motor,PWM-035,WindowMaster,Electrical,Steel,1.0 kg,50.00,"Reliable power window motor designed for smooth window operation."
36,Door Handle,DH-036,HandlePro,Interior,Plastic,0.2 kg,15.00,"Durable plastic door handle designed for easy and reliable operation."
37,Seat Belt,SB-037,SafetyFirst,Safety,Nylon,0.5 kg,20.00,"High-quality nylon seat belt designed for passenger safety."
38,Airbag Module,AM-038,SafetyGuard,Safety,Plastic,1.0 kg,150.00,"Airbag module designed for passenger protection in case of a collision."
39,Headlight Bulb,HB-039,LightBright,Lighting,Glass,0.1 kg,10.00,"High-performance glass headlight bulb designed for improved visibility."
40,Tail Light Assembly,TLA-040,LightBright,Lighting,Plastic,0.8 kg,50.00,"Complete tail light assembly designed for improved visibility and style."
41,Windshield,WS-041,GlassGuard,Glass,Glass,10.0 kg,200.00,"High-quality glass windshield designed for clear visibility and safety."
42,Side Mirror,SM-042,MirrorMaster,Exterior,Plastic,0.5 kg,30.00,"Durable plastic side mirror designed for improved visibility."
43,Rear View Mirror,RVM-043,MirrorMaster,Interior,Glass,0.2 kg,20.00,"Glass rear view mirror designed for clear visibility and safety."
44,Sunroof Motor,SRM-044,WindowMaster,Electrical,Steel,1.0 kg,50.00,"Reliable sunroof motor designed for smooth operation."
45,Antenna,ANT-045,SignalPro,Electrical,Plastic,0.1 kg,10.00,"Plastic antenna designed for clear radio reception."
46,Speaker,SPK-046,SoundMaster,Audio,Plastic,0.5 kg,30.00,"High-quality plastic speaker designed for clear and powerful sound."
47,Amplifier,AMP-047,SoundMaster,Audio,Aluminum,2.0 kg,100.00,"Aluminum amplifier designed for powerful and clear audio performance."
48,Subwoofer,SUB-048,SoundMaster,Audio,Plastic,5.0 kg,150.00,"High-performance plastic subwoofer designed for deep and powerful bass."
49,Head Unit,HU-049,SoundMaster,Audio,Plastic,1.0 kg,100.00,"Complete head unit designed for advanced audio control and performance."
50,GPS Navigation System,GPS-050,NavMaster,Electronics,Plastic,0.5 kg,150.00,"Advanced GPS navigation system designed for accurate and reliable navigation."
51,Backup Camera,BC-051,VisionPro,Electronics,Plastic,0.2 kg,50.00,"Backup camera designed for improved rear visibility and safety."
52,Parking Sensor,PS-052,SensorGuard,Electronics,Plastic,0.1 kg,30.00,"Parking sensor designed for accurate and reliable parking assistance."
53,Bluetooth Module,BT-053,ConnectPro,Electronics,Plastic,0.1 kg,20.00,"Bluetooth module designed for wireless connectivity and convenience."
54,USB Port,USB-054,ConnectPro,Electronics,Plastic,0.1 kg,10.00,"USB port designed for easy and convenient device charging and connectivity."
55,Auxiliary Input,AUX-055,ConnectPro,Electronics,Plastic,0.1 kg,10.00,"Auxiliary input designed for easy and convenient audio connectivity."
56,Cigarette Lighter,CL-056,PowerPlus,Electrical,Plastic,0.1 kg,5.00,"Plastic cigarette lighter designed for convenient power access."
57,Fuse Box,FB-057,PowerGuard,Electrical,Plastic,0.5 kg,20.00,"Plastic fuse box designed for safe and reliable electrical protection."
58,Battery Cable,BC-058,PowerPlus,Electrical,Copper,0.5 kg,15.00,"Copper battery cable designed for reliable electrical connection."
59,Spark Plug Wire,SPW-059,SparkMaster,Ignition,Copper,0.2 kg,10.00,"Copper spark plug wire designed for reliable ignition and performance."
60,Distributor Cap,DC-060,SparkMaster,Ignition,Plastic,0.2 kg,15.00,"Plastic distributor cap designed for reliable ignition timing."
61,Ignition Coil,IC-061,SparkMaster,Ignition,Plastic,0.5 kg,30.00,"Ignition coil designed for reliable and powerful spark delivery."
62,Oxygen Sensor,OS-062,SensorGuard,Exhaust,Ceramic,0.2 kg,50.00,"Ceramic oxygen sensor designed for accurate emissions monitoring."
63,Mass Air Flow Sensor,MAF-063,SensorGuard,Engine,Plastic,0.3 kg,60.00,"Mass air flow sensor designed for accurate air intake measurement."
64,Throttle Position Sensor,TPS-064,SensorGuard,Engine,Plastic,0.2 kg,40.00,"Throttle position sensor designed for accurate throttle position monitoring."
65,Crankshaft Position Sensor,CPS-065,SensorGuard,Engine,Plastic,0.2 kg,30.00,"Crankshaft position sensor designed for accurate engine timing."
66,Camshaft Position Sensor,CAM-066,SensorGuard,Engine,Plastic,0.2 kg,30.00,"Camshaft position sensor designed for accurate engine timing."
67,Knock Sensor,KS-067,SensorGuard,Engine,Plastic,0.2 kg,25.00,"Knock sensor designed for accurate engine knock detection."
68,Coolant Temperature Sensor,CTS-068,SensorGuard,Cooling,Plastic,0.2 kg,20.00,"Coolant temperature sensor designed for accurate engine temperature monitoring."
69,Oil Pressure Sensor,OPS-069,SensorGuard,Engine,Plastic,0.2 kg,20.00,"Oil pressure sensor designed for accurate oil pressure monitoring."
70,Fuel Pressure Sensor,FPS-070,SensorGuard,Fuel System,Plastic,0.2 kg,20.00,"Fuel pressure sensor designed for accurate fuel pressure monitoring."
71,MAP Sensor,MAP-071,SensorGuard,Engine,Plastic,0.2 kg,25.00,"MAP sensor designed for accurate manifold absolute pressure monitoring."
72,EGR Valve,EGR-072,EmissionPro,Exhaust,Steel,0.5 kg,50.00,"EGR valve designed for reduced emissions and improved engine performance."
73,PCV Valve,PCV-073,EmissionPro,Exhaust,Plastic,0.1 kg,10.00,"PCV valve designed for reduced emissions and improved engine performance."
74,Charcoal Canister,CC-074,EmissionPro,Exhaust,Plastic,0.5 kg,30.00,"Charcoal canister designed for reduced emissions and improved engine performance."
75,Air Pump,AP-075,EmissionPro,Exhaust,Steel,1.0 kg,50.00,"Air pump designed for reduced emissions and improved engine performance."
76,Fuel Pressure Regulator,FPR-076,FuelFlow,Fuel System,Steel,0.5 kg,30.00,"Fuel pressure regulator designed for accurate fuel pressure control."
77,Fuel Filter,FF-077,FuelFlow,Fuel System,Paper,0.2 kg,15.00,"Fuel filter designed to remove contaminants and improve fuel system performance."
78,Fuel Pump Relay,FPR-078,FuelFlow,Fuel System,Plastic,0.1 kg,10.00,"Fuel pump relay designed for reliable fuel pump operation."
79,Fuel Tank Sending Unit,FTSU-079,FuelFlow,Fuel System,Plastic,0.5 kg,30.00,"Fuel tank sending unit designed for accurate fuel level monitoring."
80,Fuel Injector Seal,FIS-080,FuelFlow,Fuel System,Rubber,0.1 kg,5.00,"Fuel injector seal designed for reliable fuel injector operation."
81,Fuel Rail,FR-081,FuelFlow,Fuel System,Aluminum,0.5 kg,50.00,"Aluminum fuel rail designed for reliable fuel delivery."
82,Fuel Return Line,FRL-082,FuelFlow,Fuel System,Steel,0.5 kg,20.00,"Steel fuel return line designed for reliable fuel return."
83,Fuel Cap,FC-083,FuelFlow,Fuel System,Plastic,0.1 kg,5.00,"Plastic fuel cap designed for secure and reliable fuel tank sealing."
84,Fuel Gauge,FG-084,FuelFlow,Fuel System,Plastic,0.2 kg,15.00,"Fuel gauge designed for accurate fuel level monitoring."
85,Fuel Pump Module,FPM-085,FuelFlow,Fuel System,Plastic,1.0 kg,50.00,"Fuel pump module designed for reliable fuel pump operation."
86,Fuel Injector Cleaner,FIC-086,FuelFlow,Fuel System,Liquid,0.5 kg,10.00,"Liquid fuel injector cleaner designed to remove deposits and improve fuel system performance."
87,Fuel Additive,FA-087,FuelFlow,Fuel System,Liquid,0.5 kg,10.00,"Liquid fuel additive designed to improve fuel system performance and efficiency."
88,Fuel Stabilizer,FS-088,FuelFlow,Fuel System,Liquid,0.5 kg,10.00,"Liquid fuel stabilizer designed to extend fuel life and improve performance."
89,Fuel System Cleaner,FSC-089,FuelFlow,Fuel System,Liquid,0.5 kg,10.00,"Liquid fuel system cleaner designed to remove deposits and improve performance."
90,Fuel Injector Kit,FIK-090,FuelFlow,Fuel System,Steel,1.0 kg,100.00,"Complete fuel injector kit designed for reliable fuel delivery and performance."
91,Fuel Pump Assembly,FPA-091,FuelFlow,Fuel System,Steel,2.0 kg,150.00,"Complete fuel pump assembly designed for reliable fuel delivery and performance."
92,Fuel Filter Kit,FFK-092,FuelFlow,Fuel System,Paper,0.5 kg,30.00,"Complete fuel filter kit designed to remove contaminants and improve performance."
93,Fuel Tank Strap,FTS-093,FuelFlow,Fuel System,Steel,0.5 kg,20.00,"Steel fuel tank strap designed for secure fuel tank mounting."
94,Fuel Tank Vent,FTV-094,FuelFlow,Fuel System,Plastic,0.2 kg,10.00,"Plastic fuel tank vent designed for reliable fuel tank venting."
95,Fuel Tank Sender,FTS-095,FuelFlow,Fuel System,Plastic,0.5 kg,30.00,"Fuel tank sender designed for accurate fuel level monitoring."
96,Fuel Tank Seal,FTS-096,FuelFlow,Fuel System,Rubber,0.1 kg,5.00,"Fuel tank seal designed for reliable fuel tank sealing."
97,Fuel Tank Lock,FTL-097,FuelFlow,Fuel System,Steel,0.5 kg,20.00,"Steel fuel tank lock designed for secure fuel tank access."
98,Fuel Tank Gauge,FTG-098,FuelFlow,Fuel System,Plastic,0.2 kg,15.00,"Fuel tank gauge designed for accurate fuel level monitoring."
99,Fuel Tank Cap,FTC-099,FuelFlow,Fuel System,Plastic,0.1 kg,5.00,"Plastic fuel tank cap designed for secure and reliable fuel tank sealing."
100,Fuel Tank Module,FTM-100,FuelFlow,Fuel System,Plastic,1.0 kg,50.00,"Fuel tank module designed for reliable fuel tank operation."
101,Fuel Tank Pump,FTP-101,FuelFlow,Fuel System,Steel,1.0 kg,50.00,"Fuel tank pump designed for reliable fuel delivery."
102,Fuel Tank Sending Unit,FTSU-102,FuelFlow,Fuel System,Plastic,0.5 kg,30.00,"Fuel tank sending unit designed for accurate fuel level monitoring."
103,Fuel Tank Vent Valve,FTVV-103,FuelFlow,Fuel System,Plastic,0.2 kg,10.00,"Fuel tank vent valve designed for reliable fuel tank venting."
104,Fuel Tank Pressure Sensor,FTPS-104,FuelFlow,Fuel System,Plastic,0.2 kg,20.00,"Fuel tank pressure sensor designed for accurate fuel tank pressure monitoring."
105,Fuel Tank Level Sensor,FTLS-105,FuelFlow,Fuel System,Plastic,0.2 kg,20.00,"Fuel tank level sensor designed for accurate fuel level monitoring."
106,Fuel Tank Temperature Sensor,FTTS-106,FuelFlow,Fuel System,Plastic,0.2 kg,20.00,"Fuel tank temperature sensor designed for accurate fuel tank temperature monitoring."
107,Fuel Tank Pressure Regulator,FTPR-107,FuelFlow,Fuel System,Steel,0.5 kg,30.00,"Fuel tank pressure regulator designed for accurate fuel tank pressure control."
108,Fuel Tank Vent Filter,FTVF-108,FuelFlow,Fuel System,Paper,0.2 kg,10.00,"Fuel tank vent filter designed to remove contaminants and improve performance."
109,Fuel Tank Vent Hose,FTVH-109,FuelFlow,Fuel System,Rubber,0.5 kg,15.00,"Fuel tank vent hose designed for reliable fuel tank venting."
110,Fuel Tank Vent Cap,FTVC-110,FuelFlow,Fuel System,Plastic,0.1 kg,5.00,"Fuel tank vent cap designed for secure and reliable fuel tank venting."
111,Fuel Tank Vent Valve Assembly,FTVVA-111,FuelFlow,Fuel System,Plastic,0.5 kg,20.00,"Fuel tank vent valve assembly designed for reliable fuel tank venting."
112,Fuel Tank Vent Solenoid,FTVS-112,FuelFlow,Fuel System,Plastic,0.2 kg,15.00,"Fuel tank vent solenoid designed for reliable fuel tank venting."
113,Fuel Tank Vent Actuator,FTVA-113,FuelFlow,Fuel System,Plastic,0.2 kg,15.00,"Fuel tank vent actuator designed for reliable fuel tank venting."
114,Fuel Tank Vent Control Module,FTVCM-114,FuelFlow,Fuel System,Plastic,0.5 kg,30.00,"Fuel tank vent control module designed for reliable fuel tank venting."
115,Fuel Tank Vent Control Valve,FTVCV-115,FuelFlow,Fuel System,Plastic,0.2 kg,15.00,"Fuel tank vent control valve designed for reliable fuel tank venting."
116,Fuel Tank Vent Control Solenoid,FTVCS-116,FuelFlow,Fuel System,Plastic,0.2 kg,15.00,"Fuel tank vent control solenoid designed for reliable fuel tank venting."
117,Fuel Tank Vent Control Actuator,FTVCA-117,FuelFlow,Fuel System,Plastic,0.2 kg,15.00,"Fuel tank vent control actuator designed for reliable fuel tank venting."
118,Fuel Tank Vent Control Module Assembly,FTVCMA-118,FuelFlow,Fuel System,Plastic,0.5 kg,30.00,"Fuel tank vent control module assembly designed for reliable fuel tank venting."
119,Fuel Tank Vent Control Valve Assembly,FTVCVA-119,FuelFlow,Fuel System,Plastic,0.5 kg,20.00,"Fuel tank vent control valve assembly designed for reliable fuel tank venting."
121,GPS Navigation Unit,GPS-121,NavMaster,Electronics,Plastic,0.6 kg,160.00,"Advanced GPS navigation unit designed for accurate and reliable navigation."
122,Backup Camera Kit,BC-122,VisionPro,Electronics,Plastic,0.3 kg,55.00,"Backup camera kit designed for improved rear visibility and safety."
123,Parking Sensor Set,PS-123,SensorGuard,Electronics,Plastic,0.2 kg,35.00,"Parking sensor set designed for accurate and reliable parking assistance."
124,Bluetooth Adapter,BT-124,ConnectPro,Electronics,Plastic,0.1 kg,25.00,"Bluetooth adapter designed for wireless connectivity and convenience."
125,USB Charger,USB-125,ConnectPro,Electronics,Plastic,0.1 kg,15.00,"USB charger designed for easy and convenient device charging."
126,Auxiliary Cable,AUX-126,ConnectPro,Electronics,Plastic,0.1 kg,15.00,"Auxiliary cable designed for easy and convenient audio connectivity."
127,Cigarette Lighter Socket,CL-127,PowerPlus,Electrical,Plastic,0.1 kg,10.00,"Plastic cigarette lighter socket designed for convenient power access."
128,Fuse Box Cover,FB-128,PowerGuard,Electrical,Plastic,0.6 kg,25.00,"Plastic fuse box cover designed for safe and reliable electrical protection."
129,Battery Cable Set,BC-129,PowerPlus,Electrical,Copper,0.6 kg,20.00,"Copper battery cable set designed for reliable electrical connection."
130,Spark Plug Wire Set,SPW-130,SparkMaster,Ignition,Copper,0.3 kg,15.00,"Copper spark plug wire set designed for reliable ignition and performance."
131,Distributor Cap Set,DC-131,SparkMaster,Ignition,Plastic,0.3 kg,20.00,"Plastic distributor cap set designed for reliable ignition timing."
132,Ignition Coil Pack,IC-132,SparkMaster,Ignition,Plastic,0.6 kg,35.00,"Ignition coil pack designed for reliable and powerful spark delivery."
133,Oxygen Sensor Kit,OS-133,SensorGuard,Exhaust,Ceramic,0.3 kg,55.00,"Ceramic oxygen sensor kit designed for accurate emissions monitoring."
134,Mass Air Flow Sensor Kit,MAF-134,SensorGuard,Engine,Plastic,0.4 kg,65.00,"Mass air flow sensor kit designed for accurate air intake measurement."
135,Throttle Position Sensor Kit,TPS-135,SensorGuard,Engine,Plastic,0.3 kg,45.00,"Throttle position sensor kit designed for accurate throttle position monitoring."
136,Crankshaft Position Sensor Kit,CPS-136,SensorGuard,Engine,Plastic,0.3 kg,35.00,"Crankshaft position sensor kit designed for accurate engine timing."
137,Camshaft Position Sensor Kit,CAM-137,SensorGuard,Engine,Plastic,0.3 kg,35.00,"Camshaft position sensor kit designed for accurate engine timing."
138,Knock Sensor Kit,KS-138,SensorGuard,Engine,Plastic,0.3 kg,30.00,"Knock sensor kit designed for accurate engine knock detection."
139,Coolant Temperature Sensor Kit,CTS-139,SensorGuard,Cooling,Plastic,0.3 kg,25.00,"Coolant temperature sensor kit designed for accurate engine temperature monitoring."
140,Oil Pressure Sensor Kit,OPS-140,SensorGuard,Engine,Plastic,0.3 kg,25.00,"Oil pressure sensor kit designed for accurate oil pressure monitoring."
141,Fuel Pressure Sensor Kit,FPS-141,SensorGuard,Fuel System,Plastic,0.3 kg,25.00,"Fuel pressure sensor kit designed for accurate fuel pressure monitoring."
142,MAP Sensor Kit,MAP-142,SensorGuard,Engine,Plastic,0.3 kg,30.00,"MAP sensor kit designed for accurate manifold absolute pressure monitoring."
143,EGR Valve Kit,EGR-143,EmissionPro,Exhaust,Steel,0.6 kg,55.00,"EGR valve kit designed for reduced emissions and improved engine performance."
144,PCV Valve Kit,PCV-144,EmissionPro,Exhaust,Plastic,0.2 kg,15.00,"PCV valve kit designed for reduced emissions and improved engine performance."
145,Charcoal Canister Kit,CC-145,EmissionPro,Exhaust,Plastic,0.6 kg,35.00,"Charcoal canister kit designed for reduced emissions and improved engine performance."
146,Air Pump Kit,AP-146,EmissionPro,Exhaust,Steel,1.2 kg,55.00,"Air pump kit designed for reduced emissions and improved engine performance."
147,Fuel Pressure Regulator Kit,FPR-147,FuelFlow,Fuel System,Steel,0.6 kg,35.00,"Fuel pressure regulator kit designed for accurate fuel pressure control."
148,Fuel Filter Kit,FF-148,FuelFlow,Fuel System,Paper,0.3 kg,20.00,"Fuel filter kit designed to remove contaminants and improve fuel system performance."
149,Fuel Pump Relay Kit,FPR-149,FuelFlow,Fuel System,Plastic,0.2 kg,15.00,"Fuel pump relay kit designed for reliable fuel pump operation."
150,Fuel Tank Sending Unit Kit,FTSU-150,FuelFlow,Fuel System,Plastic,0.6 kg,35.00,"Fuel tank sending unit kit designed for accurate fuel level monitoring."
151,Fuel Injector Seal Kit,FIS-151,FuelFlow,Fuel System,Rubber,0.2 kg,10.00,"Fuel injector seal kit designed for reliable fuel injector operation."
152,Fuel Rail Kit,FR-152,FuelFlow,Fuel System,Aluminum,0.6 kg,55.00,"Aluminum fuel rail kit designed for reliable fuel delivery."
153,Fuel Return Line Kit,FRL-153,FuelFlow,Fuel System,Steel,0.6 kg,25.00,"Steel fuel return line kit designed for reliable fuel return."
154,Fuel Cap Kit,FC-154,FuelFlow,Fuel System,Plastic,0.2 kg,10.00,"Plastic fuel cap kit designed for secure and reliable fuel tank sealing."
155,Fuel Gauge Kit,FG-155,FuelFlow,Fuel System,Plastic,0.3 kg,20.00,"Fuel gauge kit designed for accurate fuel level monitoring."
156,Fuel Pump Module Kit,FPM-156,FuelFlow,Fuel System,Plastic,1.2 kg,55.00,"Fuel pump module kit designed for reliable fuel pump operation."
157,Fuel Injector Cleaner Kit,FIC-157,FuelFlow,Fuel System,Liquid,0.6 kg,15.00,"Liquid fuel injector cleaner kit designed to remove deposits and improve fuel system performance."
158,Fuel Additive Kit,FA-158,FuelFlow,Fuel System,Liquid,0.6 kg,15.00,"Liquid fuel additive kit designed to improve fuel system performance and efficiency."
159,Fuel Stabilizer Kit,FS-159,FuelFlow,Fuel System,Liquid,0.6 kg,15.00,"Liquid fuel stabilizer kit designed to extend fuel life and improve performance."
160,Fuel System Cleaner Kit,FSC-160,FuelFlow,Fuel System,Liquid,0.6 kg,15.00,"Liquid fuel system cleaner kit designed to remove deposits and improve performance."
161,Fuel Injector Kit Set,FIK-161,FuelFlow,Fuel System,Steel,1.2 kg,105.00,"Complete fuel injector kit set designed for reliable fuel delivery and performance."
162,Fuel Pump Assembly Kit,FPA-162,FuelFlow,Fuel System,Steel,2.2 kg,155.00,"Complete fuel pump assembly kit designed for reliable fuel delivery and performance."
163,Fuel Filter Kit Set,FFK-163,FuelFlow,Fuel System,Paper,0.6 kg,35.00,"Complete fuel filter kit set designed to remove contaminants and improve performance."
164,Fuel Tank Strap Kit,FTS-164,FuelFlow,Fuel System,Steel,0.6 kg,25.00,"Steel fuel tank strap kit designed for secure fuel tank mounting."
165,Fuel Tank Vent Kit,FTV-165,FuelFlow,Fuel System,Plastic,0.3 kg,15.00,"Plastic fuel tank vent kit designed for reliable fuel tank venting."
166,Fuel Tank Sender Kit,FTS-166,FuelFlow,Fuel System,Plastic,0.6 kg,35.00,"Fuel tank sender kit designed for accurate fuel level monitoring."
167,Fuel Tank Seal Kit,FTS-167,FuelFlow,Fuel System,Rubber,0.2 kg,10.00,"Fuel tank seal kit designed for reliable fuel tank sealing."
168,Fuel Tank Lock Kit,FTL-168,FuelFlow,Fuel System,Steel,0.6 kg,25.00,"Steel fuel tank lock kit designed for secure fuel tank access."
169,Fuel Tank Gauge Kit,FTG-169,FuelFlow,Fuel System,Plastic,0.3 kg,20.00,"Fuel tank gauge kit designed for accurate fuel level monitoring."
170,Fuel Tank Cap Kit,FTC-170,FuelFlow,Fuel System,Plastic,0.2 kg,10.00,"Plastic fuel tank cap kit designed for secure and reliable fuel tank sealing."
171,Fuel Tank Module Kit,FTM-171,FuelFlow,Fuel System,Plastic,1.2 kg,55.00,"Fuel tank module kit designed for reliable fuel tank operation."
172,Fuel Tank Pump Kit,FTP-172,FuelFlow,Fuel System,Steel,1.2 kg,55.00,"Fuel tank pump kit designed for reliable fuel delivery."
173,Fuel Tank Sending Unit Kit Set,FTSU-173,FuelFlow,Fuel System,Plastic,0.6 kg,35.00,"Fuel tank sending unit kit set designed for accurate fuel level monitoring."
174,Fuel Tank Vent Valve Kit,FTVV-174,FuelFlow,Fuel System,Plastic,0.3 kg,15.00,"Fuel tank vent valve kit designed for reliable fuel tank venting."
175,Fuel Tank Pressure Sensor Kit,FTPS-175,FuelFlow,Fuel System,Plastic,0.3 kg,25.00,"Fuel tank pressure sensor kit designed for accurate fuel tank pressure monitoring."
176,Fuel Tank Level Sensor Kit,FTLS-176,FuelFlow,Fuel System,Plastic,0.3 kg,25.00,"Fuel tank level sensor kit designed for accurate fuel level monitoring."
177,Fuel Tank Temperature Sensor Kit,FTTS-177,FuelFlow,Fuel System,Plastic,0.3 kg,25.00,"Fuel tank temperature sensor kit designed for accurate fuel tank temperature monitoring."
178,Fuel Tank Pressure Regulator Kit,FTPR-178,FuelFlow,Fuel System,Steel,0.6 kg,35.00,"Fuel tank pressure regulator kit designed for accurate fuel tank pressure control."
179,Fuel Tank Vent Filter Kit,FTVF-179,FuelFlow,Fuel System,Paper,0.3 kg,15.00,"Fuel tank vent filter kit designed to remove contaminants and improve performance."
180,Fuel Tank Vent Hose Kit,FTVH-180,FuelFlow,Fuel System,Rubber,0.6 kg,20.00,"Fuel tank vent hose kit designed for reliable fuel tank venting."
181,Fuel Tank Vent Cap Kit,FTVC-181,FuelFlow,Fuel System,Plastic,0.2 kg,10.00,"Fuel tank vent cap kit designed for secure and reliable fuel tank venting."
182,Fuel Tank Vent Valve Assembly Kit,FTVVA-182,FuelFlow,Fuel System,Plastic,0.6 kg,25.00,"Fuel tank vent valve assembly kit designed for reliable fuel tank venting."
183,Fuel Tank Vent Solenoid Kit,FTVS-183,FuelFlow,Fuel System,Plastic,0.3 kg,20.00,"Fuel tank vent solenoid kit designed for reliable fuel tank venting."
184,Fuel Tank Vent Actuator Kit,FTVA-184,FuelFlow,Fuel System,Plastic,0.3 kg,20.00,"Fuel tank vent actuator kit designed for reliable fuel tank venting."
185,Fuel Tank Vent Control Module Kit,FTVCM-185,FuelFlow,Fuel System,Plastic,0.6 kg,35.00,"Fuel tank vent control module kit designed for reliable fuel tank venting."
186,Fuel Tank Vent Control Valve Kit,FTVCV-186,FuelFlow,Fuel System,Plastic,0.3 kg,20.00,"Fuel tank vent control valve kit designed for reliable fuel tank venting."
187,Fuel Tank Vent Control Solenoid Kit,FTVCS-187,FuelFlow,Fuel System,Plastic,0.3 kg,20.00,"Fuel tank vent control solenoid kit designed for reliable fuel tank venting."
188,Fuel Tank Vent Control Actuator Kit,FTVCA-188,FuelFlow,Fuel System,Plastic,0.3 kg,20.00,"Fuel tank vent control actuator kit designed for reliable fuel tank venting."
189,Fuel Tank Vent Control Module Assembly Kit,FTVCMA-189,FuelFlow,Fuel System,Plastic,0.6 kg,35.00,"Fuel tank vent control module assembly kit designed for reliable fuel tank venting."
